#-- One- and Two-neutron separation energies as evaluated by Audi et al., 
#-- G.Audi et al., Nuclear Physics A729 (2003) 337-676
#
#-------------------------------------------------
# A  elt  Z        S(n)                S(2n)      
#-------------------------------------------------
  1  n   0       0.0     0.0         *           
 35 K   19   17759.0    299.0    34074.0    197.0  
 35 Ca  20   16622.0    357.0  	     *            
 36 Na  11    -300.0    100.0  	   950.0    316.0   
 36 Mg  12    2799.0    643.0  	  3527.0    554.0  
 36 Al  13    2159.15  277.0495   7428.17  242.63
 36 Si  14    6193.52  129.2900   8668.37  124.26
 36 P   15    3464.55   13.2492  11835.94   14.03
 36 S   16    9889.04    0.2179  16874.92    0.22
 36 Cl  17    8579.63    0.0610  21224.72    0.19
 36 Ar  18   15255.45    0.7514  27996.96    0.39
 36 K   19   14328.59   21.4679  32088.0    298.0  
 36 Ca  20   19112.0    200.0    35735.0    301.0  
 36 Sc  21       *           	     *            
 37 Na  11     750.0    180.0  	   450.0    150.0   
 37 Mg  12     247.0   1034.0  	  3046.0    988.0  
 37 Al  13    3906.97  394.50	  6066.12  374.43
 37 Si  14    2168.81  209.0134   8362.33  172.98
 37 P   15    6814.48   40.1524  10279.04   37.99
 37 S   16    4303.60    0.0612  14192.64    0.22
 37 Cl  17   10310.99    0.0800  18890.63    0.06
 37 Ar  18    8787.44    0.2123  24042.88    0.77
 37 K   19   15445.35    7.7820  29773.93   20.00
 37 Ca  20   14793.72   45.8336  33906.0    197.0  
 37 Sc  21   19128.0    585.0  	     *            
 38 Mg  12    2324.0   1034.0  	  2571.0    711.0  
 38 Al  13    1967.05  801.99	  5874.01  761.41
 38 Si  14    5558.59  217.59	  7727.40  184.77
 38 P   15    3834.99  110.1335  10649.48  104.21
 38 S   16    8036.15    7.1708  12339.76    7.17
 38 Cl  17    6107.88    0.0887  16418.87    0.12
 38 Ar  18   11838.21    0.3935  20625.65    0.34
 38 K   19   12071.81    0.4645  27517.15    7.79
 38 Ca  20   16968.78   22.8262  31762.49   40.26
 38 Sc  21   15849.0    422.0  	 34977.0    585.0  
 38 Ti  22       *           	     *            
 39 Mg  12    -500.0    100.0  	  1824.0   1039.0  
 39 Al  13    2725.49 1643.09	  4692.54 1508.52
 39 Si  14    2075.84  364.90	  7634.43  377.76
 39 P   15    6187.23  146.2329  10022.23  110.15
 39 S   16    4372.36   50.5120  12408.52   50.00
 39 Cl  17    8073.42    1.7323  14181.30    1.73
 39 Ar  18    6598.78    5.0101  18436.99    5.01
 39 K   19   13077.64    0.4120  25149.45    0.21
 39 Ca  20   13286.50    4.9186  30255.27   22.44
 39 Sc  21   17302.0    299.0    33152.0    299.0  
 39 Ti  22   15672.0    324.0  	     *            
 40 Mg  12    1403.0   1039.0  	   903.0   1034.0   
 40 Al  13     172.0   1629.0  	  2898.0   1011.0  
 40 Si  14    4532.47  650.71	  6608.31  572.78
